employee_id,name,branch_id,role,hire_date,salary,hire_year,hire_month,hire_day,salarys
1,Richard Rodriguez,30,Customer Service,2016-11-09,62479,2016,11,9,False
2,Robert Rodriguez,136,Relationship Manager,2010-08-04,50855,2010,8,4,False
3,Arjun Rodriguez,35,Customer Service,2020-02-12,94948,2020,2,12,False
4,Arjun Singh,146,Loan Officer,2022-02-11,40756,2022,2,11,False
5,Robert Joshi,29,Customer Service,2010-05-09,155016,2010,5,9,False
6,Barbara Joshi,83,Loan Officer,2022-06-02,175507,2022,6,2,False
7,Elizabeth Chopra,119,Loan Officer,2002-10-26,120049,2002,10,26,False
8,Arjun Miller,12,Branch Manager,2002-09-23,176937,2002,9,23,False
9,Rahul Pillai,11,Teller,2025-04-02,38448,2025,4,2,False
10,Rahul Reddy,128,Teller,2014-08-06,124146,2014,8,6,False
11,Kiran Reddy,10,Loan Officer,2011-06-15,95322,2011,6,15,False
12,Sanjay Kumar,93,Teller,2003-12-16,70159,2003,12,16,False
13,Susan Malhotra,141,Loan Officer,2007-05-06,75389,2007,5,6,False
14,Robert Pillai,93,Customer Service,2017-06-09,110867,2017,6,9,False
15,Vikram Rao,73,Relationship Manager,2023-04-17,125530,2023,4,17,False
16,Deepak Mehta,63,Teller,2010-05-12,52929,2010,5,12,False
17,Ajay Chopra,96,Customer Service,2011-07-23,121413,2011,7,23,False
18,Elizabeth Davis,86,Loan Officer,2004-02-24,168834,2004,2,24,False
19,Elizabeth Martinez,76,Teller,2002-02-10,29580,2002,2,10,False
20,Mary Mehta,24,Teller,2011-02-16,161510,2011,2,16,False
21,Jennifer Johnson,100,Teller,2014-09-21,120369,2014,9,21,False
22,Priya Martinez,111,Teller,2002-08-26,80017,2002,8,26,False
23,Priya Kumar,107,Teller,2010-05-20,139697,2010,5,20,False
24,Jessica Menon,12,Loan Officer,2016-04-21,121903,2016,4,21,False
25,Richard Nair,106,Branch Manager,2020-08-10,144846,2020,8,10,False
26,Ritu Verma,110,Teller,2023-11-07,40355,2023,11,7,False
27,Charles Patel,28,Teller,2008-08-25,36964,2008,8,25,False
28,Manoj Singh,128,Teller,2022-03-27,125586,2022,3,27,False
29,Ajay Reddy,79,Branch Manager,2017-08-14,74156,2017,8,14,False
30,Susan Smith,71,Teller,2006-12-15,64217,2006,12,15,False
31,William Reddy,109,Branch Manager,2017-05-31,92033,2017,5,31,False
32,Ajay Gupta,77,Teller,2004-01-02,138232,2004,1,2,False
33,Neha Kumar,82,Teller,2011-05-31,55325,2011,5,31,False
34,Barbara Desai,47,Relationship Manager,2007-10-16,175925,2007,10,16,False
35,Vikram Pillai,140,Teller,2025-03-24,91951,2025,3,24,False
36,Rohan Mehta,146,Teller,2000-11-20,50888,2000,11,20,False
37,Deepak Sharma,20,Teller,2021-10-10,38811,2021,10,10,False
38,David Patel,110,Compliance Officer,2007-02-23,158304,2007,2,23,False
39,Meera Garcia,4,Customer Service,2000-12-02,45209,2000,12,2,False
40,Kiran Pillai,56,Customer Service,2016-10-10,91682,2016,10,10,False
41,Linda Chatterjee,146,Compliance Officer,2017-03-26,129641,2017,3,26,False
42,Michael Chatterjee,27,Teller,2003-08-13,105990,2003,8,13,False
43,Rohan Martinez,57,Compliance Officer,2000-12-21,67911,2000,12,21,False
44,Mary Martinez,33,Teller,2010-05-23,44405,2010,5,23,False
45,Richard Chatterjee,110,Customer Service,2003-05-13,136133,2003,5,13,False
