Doctor_ID,Hospital_ID,Doctor_Name,Doctor_Specialty,Medical_License_Number,NPI_Number,Employment_Status
DOC-00001,HOSP-00003,Kylie Morgan,General medicine,Lic-510120,0000012345,Active
DOC-00002,HOSP-00031,Amanda Rodriguez,Pediatrics,Unknown,0000000000,Inactive
DOC-00003,HOSP-00081,Holly Myers,General Medicine,Lic-687256,6606021916,active
DOC-00004,HOSP-00052,Shannon Watts Md,cardiology,Lic-581859,0000012345,Unknown
DOC-00005,HOSP-00038,Alan Kirby,cardiology,Lic-Invalid,0000012345,active
DOC-00006,HOSP-00014,Angie Anderson,Cardiology,Unknown,0000012345,active
DOC-00007,HOSP-00002,Patrick Decker,General Medicine,Lic-562390,0000012345,Active
DOC-00008,HOSP-00044,David Cox,Cardiology,Lic-422400,0000012345,Inactive
DOC-00009,HOSP-00006,Douglas Jones,Pediatrics,Lic-421165,6839964777,On Leave
DOC-00010,HOSP-00095,Daniel Adams,Dermatology,Lic-Invalid,0000012345,Inactive
DOC-00011,HOSP-00089,Jessica Sanders,Orthopedics,Lic-603353,5624450863,Unknown
DOC-00012,HOSP-00008,Amy Cook,Oncology,Unknown,0000012345,Unknown
DOC-00013,HOSP-00099,Valerie Hernandez,Neurology,Lic-511125,0000000000,On Leave
DOC-00014,HOSP-00010,Lisa Rogers,Psychiatry,Lic-Invalid,0000012345,On Leave
DOC-00015,HOSP-00079,David Brown,Psychiatry,Lic-307409,8281536834,active
DOC-00016,HOSP-00078,Paul Charles,cardiology,Unknown,6437968087,Active
DOC-00017,HOSP-00056,Gabrielle Flores,Oncology,Lic-Invalid,0000000000,Unknown
DOC-00018,HOSP-00056,Yolanda Burch,Oncology,Lic-Invalid,0000012345,Active
DOC-00019,HOSP-00088,Jacob Williamson,ENT,Unknown,0000012345,Active
DOC-00020,HOSP-00035,Randy Washington,General medicine,Unknown,0000000000,Active
DOC-00021,HOSP-00091,Kathleen Williams,General Medicine,Lic-Invalid,2154147542,Inactive
DOC-00022,HOSP-00038,Crystal Brown,General medicine,Unknown,9622553158,Inactive
DOC-00023,HOSP-00024,Andrea Lee,ENT,Lic-955959,1646634266,Unknown
DOC-00024,HOSP-00096,Jimmy Schroeder,Neurology,Lic-Invalid,0000012345,Unknown
DOC-00025,HOSP-00066,Tammy Burke,Cardiology,Unknown,9765735624,On Leave
DOC-00026,HOSP-00003,Wanda Salazar,Psychiatry,Lic-Invalid,0000000000,Inactive
DOC-00027,HOSP-00049,Christopher Hawkins,General Medicine,Unknown,2929125481,active
DOC-00028,HOSP-00066,Angela Salazar,ENT,Unknown,0000012345,On Leave
DOC-00029,HOSP-00057,Rebecca Walsh,Neurology,Lic-676414,0000012345,Unknown
DOC-00030,HOSP-00062,John Duncan,Oncology,Lic-Invalid,0000012345,active
DOC-00031,HOSP-00047,Douglas Lamb,Psychiatry,Unknown,2199704378,Active
DOC-00032,HOSP-00044,Anthony Ford,Radiology,Lic-Invalid,0000000000,Active
DOC-00033,HOSP-00087,Chris Giles,Orthopedics,Lic-Invalid,9926971160,On Leave
DOC-00034,HOSP-00035,Roberto Weber,Cardiology,Lic-Invalid,0000000000,On Leave
DOC-00035,HOSP-00011,Christopher Weiss,Dermatology,Unknown,0000000000,On Leave
DOC-00036,HOSP-00051,Brian Haley,General medicine,Lic-Invalid,0000000000,Active
DOC-00037,HOSP-00041,Kevin Welch,General Medicine,Unknown,0000012345,Unknown
DOC-00038,HOSP-00002,Gabriel Spencer,General Medicine,Lic-Invalid,0000012345,active
DOC-00039,HOSP-00010,Andre Moore,Pediatrics,Lic-Invalid,0000000000,Active
DOC-00040,HOSP-00092,Tracey Meadows,Neurology,Lic-Invalid,0000000000,active
DOC-00041,HOSP-00045,Cindy Fisher,Pediatrics,Lic-407638,0000000000,Inactive
DOC-00042,HOSP-00084,Brandon Tanner,Psychiatry,Unknown,5539703681,Active
DOC-00043,HOSP-00014,Trevor Clayton,Radiology,Lic-Invalid,0000000000,active
DOC-00044,HOSP-00006,Carl Huffman,Pediatrics,Lic-Invalid,0000012345,On Leave
DOC-00045,HOSP-00072,Brett Duran,ENT,Unknown,0000000000,Inactive
DOC-00046,HOSP-00028,Valerie West,Psychiatry,Lic-Invalid,7941674020,On Leave
DOC-00047,HOSP-00068,Stacy Brown,Orthopedics,Lic-Invalid,0000000000,Active
DOC-00048,HOSP-00043,Gary Maxwell,General Medicine,Lic-970952,0000012345,On Leave
DOC-00049,HOSP-00094,Melissa White,Pediatrics,Lic-900420,7732223050,On Leave
DOC-00050,HOSP-00023,Janice Lucas,General Medicine,Unknown,0000000000,Unknown
DOC-00051,HOSP-00034,Justin Jones,General Medicine,Lic-Invalid,0000012345,Active
DOC-00052,HOSP-00037,Maria Harris,Pediatrics,Lic-Invalid,4621028380,Inactive
DOC-00053,HOSP-00083,Brittany Cervantes Dvm,Psychiatry,Lic-Invalid,7708581757,Unknown
DOC-00054,HOSP-00044,Maria Leon,Oncology,Unknown,0000012345,Unknown
DOC-00055,HOSP-00080,Stacy Smith,Oncology,Lic-Invalid,1993414329,Unknown
DOC-00056,HOSP-00081,Sheila Smith,ENT,Unknown,0000012345,Unknown
DOC-00057,HOSP-00020,Kelly Davis,Radiology,Lic-Invalid,8591167915,On Leave
DOC-00058,HOSP-00017,Destiny Clayton,General Medicine,Lic-347823,0000000000,Active
DOC-00059,HOSP-00091,Robert Rodriguez,Orthopedics,Lic-301793,4465104318,Active
DOC-00060,HOSP-00092,David Weber,Pediatric,Unknown,8922083960,Unknown
