Doctor_ID,Hospital_ID,Doctor_Name,Doctor_Specialty,Medical_License_Number,NPI_Number,Doctor_Phone,Doctor_Email,Employment_Status
DOC-00001,HOSP-00003,Kylie Morgan,General medicine,LIC-510120,12345,884.468.2203x57523,doctor@,Active
DOC-00002,HOSP-00031,Amanda Rodriguez,Pediatrics,,,N/A,doctor@,Inactive
DOC-00003,HOSP-00081,Holly Myers,General Medicine,LIC-687256,6606021916,,michael14@example.org,active
DOC-00004,HOSP-00052,Shannon Watts MD,cardiology,LIC-581859,12345,N/A,blake98@example.net,
DOC-00005,HOSP-00038,Alan Kirby,cardiology,LIC-INVALID,12345,+1-537-656-3198x4993,hannahkidd@example.net,active
DOC-00006,HOSP-00014,Angie Anderson,Cardiology,,12345,N/A,doctor@,active
DOC-00007,HOSP-00002,Patrick Decker,General Medicine,LIC-562390,12345,N/A,doctor@,Active
DOC-00008,HOSP-00044,David Cox,Cardiology,LIC-422400,12345,N/A,,Inactive
DOC-00009,HOSP-00006,Douglas Jones,Pediatrics,LIC-421165,6839964777,,,On Leave
DOC-00010,HOSP-00095,Daniel Adams,Dermatology,LIC-INVALID,12345,N/A,,Inactive
DOC-00011,HOSP-00089,Jessica Sanders,Orthopedics,LIC-603353,5624450863,,joshuaallen@example.net,
DOC-00012,HOSP-00008,Amy Cook,Oncology,,12345,491.736.1939,william40@example.org,
DOC-00013,HOSP-00099,Valerie Hernandez,Neurology,LIC-511125,,(871)868-5566x989,,On Leave
DOC-00014,HOSP-00010,Lisa Rogers,Psychiatry,LIC-INVALID,12345,,doctor@,On Leave
DOC-00015,HOSP-00079,David Brown,Psychiatry,LIC-307409,8281536834,N/A,doctor@,active
DOC-00016,HOSP-00078,Paul Charles,cardiology,,6437968087,395-984-4537x44552,jonesyvette@example.com,Active
DOC-00017,HOSP-00056,Gabrielle Flores,Oncology,LIC-INVALID,,N/A,charles65@example.com,
DOC-00018,HOSP-00056,Yolanda Burch,Oncology,LIC-INVALID,12345,,anthony31@example.com,Active
DOC-00019,HOSP-00088,Jacob Williamson,ENT,,12345,(681)557-3232x26017,doctor@,Active
DOC-00020,HOSP-00035,Randy Washington,General medicine,,,,kathryn65@example.com,Active
DOC-00021,HOSP-00091,Kathleen Williams,General Medicine,LIC-INVALID,2154147542,7113306351,doctor@,Inactive
DOC-00022,HOSP-00038,Crystal Brown,General medicine,,9622553158,001-846-298-6234x404,,Inactive
DOC-00023,HOSP-00024,Andrea Lee,ENT,LIC-955959,1646634266,,nvillarreal@example.net,
DOC-00024,HOSP-00096,Jimmy Schroeder,Neurology,LIC-INVALID,12345,,drakemichelle@example.com,
DOC-00025,HOSP-00066,Tammy Burke,Cardiology,,9765735624,N/A,,On Leave
DOC-00026,HOSP-00003,Wanda Salazar,Psychiatry,LIC-INVALID,,8605789872,nmorrow@example.org,Inactive
DOC-00027,HOSP-00049,Christopher Hawkins,General Medicine,,2929125481,,,active
DOC-00028,HOSP-00066,Angela Salazar,ENT,,12345,,doctor@,On Leave
DOC-00029,HOSP-00057,Rebecca Walsh,Neurology,LIC-676414,12345,+1-814-861-6849x481,doctor@,
DOC-00030,HOSP-00062,John Duncan,Oncology,LIC-INVALID,12345,,,active
DOC-00031,HOSP-00047,Douglas Lamb,Psychiatry,,2199704378,,,Active
DOC-00032,HOSP-00044,Anthony Ford,Radiology,LIC-INVALID,,(785)838-1229x0926,,Active
